
:Author: crane
:Email: crane@crane-pc
:Date: 2017-10-18 19:18

:from http://vim-scripts.org/vim/scripts.html

Type	Name	Description
utility	CmdlineComplete	complete command-line (: / etc.) from the current file
utility	Limp	Lisp IDE
utility	debugger.py	remote PHP debugger : remote debugger interface to DBGp protocol w/ path mapping
utility	qfn	quickfixnotes: file annotation with quickfix
utility	Switch	Quick toggling of boolean options
utility	VimTAP	Test Anything Protocol for vim
utility	Txtfmt-The-Vim-Highlighter	"Rich text" highlighting in Vim! (colors, underline, bold, italic, etc...)
utility	Relativize	quickly make a full path name relative to an index.html or tags file
utility	runzip	edit zip files recursively (zip files inside zip files)
utility	CoremoSearch	A simple simultaneous search script.
utility	TwitVim	Twitter client for Vim
utility	vimgen	vim inline generator / template expander
utility	SCMDiff	Highlight changed lines in a file via SCM diff command
utility	gauref.vim	Look up a reference manual of Gauche
utility	Unicode-Macro-Table	Macros to easily add mathematical symbols and operators to your document
utility	number-marks	showing marks using number array in color, easy to trace.
utility	fpdf.vim	PDF writer
utility	Latex-Text-Formatter	This scripts makes it easier to format latex text
utility	git-file.vim	open any version of a file in git
utility	file-line	Allows you to open file:line and it does the right thing :-)
utility	smoothPageScroll.vim	smooth page scroll
utility	vimlatex	Sanitizes LaTeX error messages for Vim-LaTeX.
utility	ColorSchemeEditor	PyGTK GUI to more easily create colorschemes (keywords: color scheme editor)
utility	Source-Explorer-srcexpl.vim	A Source code Explorer based on tags works like context window in Source Insight
utility	rdhelp.txt	Help to Rd files (R documentation) in vimhelp format
utility	repmo.vim	repeat motions for which a count was given
utility	head.vim	easy reading file head or tail, with file prefix 'head:', 'tail:'.
utility	PERLDOC2	Perldoc with sytnax highlighting in vim
utility	Doxygen-via-Doxygen	Generate Doxygen documentation
utility	ukrainian-enhanced.vim	Ukrainian enhanced keymap
utility	renamec.vim	Renaming refactoring for C symbols using cscope
utility	GNU-R	facilitates work with GNU R statistical package
utility	VFT--VIM-Form-Toolkit	console-based forms with checkboxes, comboboxes, etc. (screenshot included)
utility	timestamp	Add a timestamp to your source file
utility	diffchanges.vim	Show changes made to current buffer since the last save
utility	altfile	easy switching between related files
utility	marvim	Macro Persistent Storage and Shareable Repository for VIM
utility	RecentFiles	Plugin that allows you to easily access recently opened files.
utility	snippets.vim	Simple snippet storage and retrieval separated by filetype.
utility	sessions.vim	Easy session management for gvim.
utility	quiltdiff	Shows changes of the current patch on the left as signs
utility	VimTrac	A vim client for the Trac wiki and ticketing system
utility	showmarks	Display marks as signs (needs +sign feat )
utility	undobranche_viewer.vim	Undo Branches Explorer
utility	Css-Pretty	Pretty-print a css file
utility	repeat.vim	Use the repeat command (.) with supported plugins
utility	tabpage_sort.vim	Sort vim7 tab page in 'buffer number' order.
utility	XmlPretty	Pretty-print an xml file
utility	symfony.vim	Useful editing tip for Symfony PHP Framework
utility	accurev	AccuRev SCM Integration for Vim
utility	Twitter	Post to Twitter from Vim
utility	bg.py	Post to your blog at blogger.com from gVIM.
utility	HeaderCVS	Auto generate CVS Header before current cursor
utility	speeddating.vim	Use CTRL-A/X to increment dates, times, and more
utility	webpreview	make previewing pages in web browsers easily
utility	GCov-plugin	Simple plugin for easy access to .gcov files
utility	csv-reader	Read csv file (comma or tab, choosable), easy to move to every column in color.
utility	scratch	Emacs like scratch buffer
utility	oberon2	Syntax file for Oberon-2.
utility	kwbdi.vim	Keep Window on Buffer Delete - Improved
utility	EnvEdit.vim	Intelligently edit environment variable values
utility	textobj-datetime	Text objects for date and time
utility	textobj-user	Support for user-defined text objects
utility	fakeclip	pseudo clipboard register for non-GUI version of Vim
utility	narrow	Emulate Emacs' narrowing feature
utility	Tab-Menu	Tab Menu for all the tabs in VIM
utility	Smartput	Adjust spaces and commas when putting text.
utility	complval.vim	complete a variable's value after :let in the command line
utility	view_diff	view diff file in an eaiser way by vimdiff
utility	Acpp	Does a better job than A script
utility	refactor	C/C++ refactoring tool
utility	code-snippet	Simple input assistance of code snippets
utility	gen_vimoptrc.vim	Generate vim option configuration file from option-window.
utility	comments.vim	Simple, flexible commenting script
utility	mysqlquery	Simple and Easy to use utility for executing MySQL queries
utility	autoresize.vim	Automatically Resizing Splitted Current Window Size Larger.
utility	setsyntax	Set options specific for the syntax group under cursor
utility	switch-files	switch between .c and .h files or different path and same filename easily
utility	yet-another-svn-script	makes svn add /commit much easier from vim
utility	bbcode	bbcode syntax and code templates
utility	ttagcomplete	Context-sensitive tags-based completion and code skeletons
utility	yate	This plugin makes search in tags more convenient.
utility	executevimscript	Execute selected vimscript lines
utility	checksum.vim	Compute checksums on files or lines
utility	xemacs-mouse-drag-copy	(x)emacs style quick copy and paste
utility	winwkspaceexplorer	IDE like Project explorer ( plugin for winmanager )
utility	matchparenpp	Improvement over standard matchparen plugin
utility	ttagecho	Show current tag information
utility	TranslateIt	Translate a word under cursor using custom dictionary utility
utility	LustyJuggler	Switch very quickly among your active buffers
utility	vimpp	Object-oriented programming for vim scripts in C++ style.
utility	BlockDiff	Difference between two blocks (functions etc...)
utility	Flash-Live-Support-Agent-and-Chatroom	http://www.tufat.com/forum/forumdisplay.php?f=5
utility	myvim.vim	useful functions
utility	VimPdb	Integrated Python debugging within Vim
utility	of.vim	Switch between open files / Find files by parital name (Similar to TM's Cmd-T)
utility	AutoScrollMode	script to let vim auto scroll text for you
utility	tcalc	A small ruby-based RPN-calculator
utility	QuickComment	comment/uncomment utility
utility	narrow_region	hide certain lines of a buffer
utility	hookcursormoved	Facilitate definition of triggers on CursorMoved[I] events
utility	F6_Comment	Auto commenting that accepts Visual range
utility	F6_Comment-old	Auto commenting that accepts Visual range
utility	trag	A language & project-aware regexp builder & runner for vimgrep
utility	swap-parameters	swap parameters of a function (requires python)
utility	makeprgs	Set makeprg and compiler type based on globbed files
utility	vimblog.vim	blogging from vim ruby script
utility	MarkLines	Toggle highlighting on important lines
utility	motion.vim	motion text in command mode
utility	Tailf	Tails a log file continuously, like using 'tail -f'
utility	headerguard.vim	Add header guards to C/C++ header files
utility	Gettext-PO-file-compiler	This is a compiler for gettext files (*.po)
utility	ttags	Tag list browser (List, filter, preview, jump to tags)
utility	tregisters	List, edit, and run/execute registers/clipboards
utility	cheat.vim	Vim wrapper for cheat (http://cheat.errtheblog.com) utility.
utility	ttoc	A regexp-based table of contents of the current buffer
utility	DrillCtg	Allows fast drill-down search across the pathnames in your ctags file
utility	openssl.vim	Turn Vim into a Password Safe and edit openssl encrypted files
utility	dbext4rdb	dbext 506 with added capabilities for Rdb
utility	sessionman.vim	Vim session manager
utility	AutoClose	Auto close pair of characters
utility	buffer-status-menu.vim	Add modified/current status to Buffers menu
utility	greplist.vim	vimgrep location list manager
utility	karma.vim	For given karma print how users possibly voted
utility	gobgen	GObject skeleton generator
utility	python_ifold	Improved version of python_fold. Uses folding expression for python code.
utility	lookup.vim	Lookup dictionary meaning of a word (and thesaurus too)
utility	blinking_cursor	Makes the cursor blink in x terms when the user is in insert mode
utility	iast.vim	Vim Keymap file for translitteration of pāli and sanskrit with IAST mapping
utility	undo_tags	small utility that lets you tag undo branches
utility	bruce.vim	annoy people who spy on your emails
utility	Shell-History	Autocomplete based upon bash_history
utility	gitvimdiff	Script to show git diffs in vimdiff format
utility	runtests.vim	Automatically generate, manage, and run test files for perl source.
utility	FuzzyFinder	buffer/file/command/tag/etc explorer with fuzzy matching
utility	GtagsClient	A client for Google Gtags
utility	vimff	Connection between common-lisp and vim.
utility	halfmove	Move the cursor half way up or down the screen
utility	vimremote.sh	script to use gvim from IDE
utility	Easy-alignment-to-column	Quickly align a word to a predefined column
utility	pyconsole_vim.vim	PyConsole - embedded console session in windows Vim
utility	JET_toggle	Dynamically add sets of commands to toggle between with a hotkey
utility	Parameter-Helpers	[Programming] Useful functions for handling parameters in function calls
utility	deb.vim	browse debian package
utility	Highlight-and-Mark-Lines	Highlights and Marks lines (up to 3) and allows moving between them.
utility	gvim-extensions-for-TALpTAL	Support for TAL/pTAL source files with syntax highlighting and tags
utility	Ruby-Snippets	Some abbreviations to use with Ruby
utility	lodgeit.vim	pastes code to paste.pocoo.org
utility	vimscript-coding-aids	some coding aids for writing vim scripts
utility	Tabmerge	Merge a tab's windows with the current tab
utility	cimpl	Generates implimentations for C/C++ function prototypes
utility	CharSort	Functions and mappings to sort the characters in a string
utility	SmartX	Smart deletion of \X escapes with the x/X/Backspace/Delete keys
utility	yasnippets	Yet another plugin for snippets and file skeletons
utility	smart_cr	Inserting snippets in new line
utility	doxygen-support.vim	Generate Doxygen comments from user defined templates
utility	yavdb	Yet Another (Generic) Vim Debugger Integration
utility	Vimpress	Manage wordpress blog posts from Vim
utility	gvim-pdfsync	Open file in OS X Vim at a specific line. Good for PDFSync inverse searches.
utility	VimExplorer	VE - the File Manager within Vim!
utility	Dictionary	English Dictionary
utility	outline	Create your own custom view of the file based on regex
utility	QuickFixFilterUtil	filter matched files in the quickfix window manually/ drop .svn .hg _darcs
utility	autofmt	text formatting plugin
utility	rectcut	Rectangle Copy
utility	visSum.vim	Computes sum of selected numbers
utility	svndiff.vim	vim plugin to for visual display of svn diffs in two vim windows
utility	DBGp-client	a remote debugger interface to the DBGp protocol (tested only with XDebug/PHP)
utility	Rename	Rename a buffer within Vim and on disk
utility	context-complier-plugin	complier for context
utility	mySqlGenQueryMenu.vim	Generates vim menu from sql queries files (python required)
utility	tbibtools	bibtex-related utilities (sort, reformat, list contents ...)
utility	perlhelp.vim	Interface to perldoc
utility	QuickBuf	Very small, clean but quick and powerful buffer manager!
utility	tmboxbrowser	A mbox browser -- Read your e-mails with vim
utility	camelcasemotion	Motion through CamelCaseWords and underscore_notation.
utility	ReloadScript	Reload a VIM script during script development.
utility	REPL	Prompt-driven replace(substitute) for console vim, also in multiple files.
utility	FindFile	Open file quickly by using autocomplete
utility	vcsnursery	Additional backends for vcscommand
utility	ragtag.vim	A set of mappings for HTML, XML, PHP, ASP, eRuby, JSP, and more (formerly allml)
utility	gmcs.vim	Mono C# compiler profile
utility	Vim-Setup-system	Vim Setup system - persistent setup directly in vim
utility	vmake	Use quickfix with external make
utility	CimpTabulate.vim	Utility script for case tabulation in C/C++
utility	LustyExplorer	Dynamic filesystem and buffer explorer
utility	automated-rafb.net-uploader-plugin	only works on Windows, uploads current file in rafb.net
utility	DiffGoFile	Jump to file from diff output
utility	AnyPrinter	Lets you insert a print statement quickly in any language
utility	scmCloseParens	Lets you easily close all open parens up to the cursor line.
utility	Increment-and-Decrement-number	Increment or decrement the number which is under your cursor
utility	svndiff	Shows colored signs in buffer indicating diff with original svn/git file,
utility	AutoComplPop	Automatically opens popup menu for completions
utility	voodu.vim	Framework for implementing Object Oriented Programming with Vim Scripts
utility	securemodelines	Secure, user-configurable modeline support
utility	projtags.vim	Set tags file for per project
utility	simplefold	space-optimized, configurable folds, supports Ruby, Ocaml, Perl, PHP, Java...
utility	tselectbuffer	A quick buffer selector/switcher
utility	tselectfiles	A quick file selector/browser/explorer (sort of)
utility	tmru	Most Recently Used Files
utility	tlib	Some utility functions
utility	errormarker.vim	Highlights and sets error markers for lines with compile errors
utility	Directory-specific-settings	Easily have settings that apply only to files under a given directory
utility	eZVim	eZVim adds some features to vim for eZ Publish CMS
utility	Twitter	A simple client for Twitter
utility	SearchSyntaxError	search for the next syntax error detected by the vim highlighting mechanism
utility	AutoClose	Inserts matching bracket, paren, brace or quote
utility	gitdiff.vim	show git diff in a split window
utility	tEchoPair	Display the matching parenthesis/pair in the echo area
utility	bufpos	switch buffer with Alt-
utility	RDF-Namespace-complete	RDF Vocabulary/Model Omni-Completion for Vim 7+
utility	des3.vim	Edit DES3 encrypted files and turn Vim into a simple password safe.
utility	VimSpy	VimSpy enables you to browse through all Vim internal entities.
utility	writebackupVersionControl	Version control functions (diff, restore, history) for writebackup backups.
utility	writebackup	Write backups of current file with date file extension.
utility	NetSend.vim	NetSend.vim: Plugin for sending messages using MS net send
utility	incfilesearch.vim	Incremental search for files to edit using glob
utility	vimbuddy.vim	Vimbuddy (update): An absolutely unuseful little thing
utility	Yankcode	Paste syntax code to webpage quickly
utility	buffers_search_and_replace	Simple but powerful buffer(s) search & replace tool
utility	sqlvim.sh	Run Oracle SQL*Plus commands from vim
utility	greplace.vim	Replace a pattern across multiple files interactively
utility	gotofile	gf replacement by using the tags file
utility	Random-Tip-Displayer	display random of "Best Vim tips"
utility	guicolorscheme.vim	auto convert gui-only colorschemes to 88/256 color terminal schemes
utility	Vimplate-Enhanced	Vimplate template system for vim 7.0 (supports C/C++/Cpp, Perl, make, LaTeX)
utility	MultiEnc.vim	Autodetect multiple encodings (more than 'fileencodings')
utility	SearchFold	Search a file by folding non-matching lines with optional context.
utility	brief2	Brief emulation
utility	compview	Creates an interactive search window
utility	svnvimdiff	svn diff + vimdiff
utility	autoloadTemplate.vim	load the template according the filetype while editing a new file
utility	fcsh-tools	you can compile .as and .mxml files from vim via fcsh : Flex Comipler SHell
utility	tagscan	Tag your file for better search requisite place
utility	Audacious-Control	A simple plug-in which let you control your Audacious right within Vim
utility	Bexec	Execute script in buffer and display output in buffer.
utility	hexsearch.vim	search with a hexadecimal string
utility	cscope-wrapper	make gvim(WIN32) + cscope(Cygwin) work together
utility	tcmdbar.vim	Script for use with Total Commander's button bar
utility	cvsdiff	a simple shell script that invoking vimdiff to compare CVS file
utility	Vimgrep-Replace	Use vimgrep to do search and replace
utility	Menu_SQL_Templates.vim	SQL code templates in VIM Menu
utility	DAMOS-tools	syntax-, indent- and ftplugins for files to use with DAMOS application tool
utility	woc	A vim WoC browser. It enables hyperlinks for sources and ASCII texts.
utility	lispcomplete.vim	SLIME-like compound completion for Lisp
utility	recent.vim	Quick access to recently written files
utility	code_complete	function parameter complete, code snippets, and much more.
utility	lua-support	Lua-IDE -- Write and run Lua-scripts using menus and hotkeys.
utility	surrogat	Surrogate alphabets handling plugin
utility	conlangs	Esperanto text typing plugin
utility	lbdbq	query lbdb from Vim
utility	TTrCodeAssistor	Accelerate your inputing during coding,with auto-complete the function prototype
utility	tGpg	Yet another plugin for encrypting files with gpg
utility	GotoFileArg.vim	Jump right to file in arg list by name, substr, regex
utility	toggle_word.vim	toggles words, ie. turn on into off, true into false, etc.
utility	compilerflex.vim	Compiler plugin for Adobe Flex 2 compiler
utility	vst_with_syn	combine of Mikolaj Machowski's VST and Estienne Swart's rest.vim
utility	Utility	Vertical Copy
utility	Info.plist	Mac OS X Property List for file type bindings to vim
utility	RunVim.applescript	AppleScript to launch vim w/in Terminal (Mac OS X)
utility	echofunc.vim	Echo the function declaration in the command line for C/C++.
utility	aedit	Advanced Edit
utility	perlcritic-compiler-script	Compiler file for the perlcritic syntax checker
utility	tAssert	Simple assertions, poor man's contracts for vim script
utility	exUtility	Global search,symbol search,tag track...(Like IDE/Source Insight)
utility	capslock.vim	Software Caps Lock
utility	pyljvim	pyljvim - LiveJournal Plugin for VIM.
utility	vimpager	Use ViM as PAGER
utility	renamer.vim	Use the power of vim to rename groups of files
utility	gvimext.dll--support-tabs-under-VIM-7	Support loading files into a VIM tab
utility	Tail-Bundle	Yet another tail -f plugin
utility	FencView.vim	Autodetect multiple encodings
utility	Marks-Browser	A graphical marks browser
utility	vdb-duplicated	Interrupted upload duplication, do not download
utility	vdb.vim	Vim becomes an integrated debugger for any language with a text based debugger
utility	Remove-Trailing-Spaces	removes the trailing space from the file
utility	vimksh	Using MSWin Vim with MSWin SFU 3.5
utility	surround.vim	Delete/change/add parentheses/quotes/XML-tags/much more with ease
utility	VPars	Parameter substitution functions to be used in text fragments
utility	StateExp	Ease writing code by expanding statements.
utility	SnippetsMgr	This script helps to work with code snippets.
utility	tailtab.vim	View log files getting updated automagically
utility	IndentConsistencyCopAutoCmds	autocmds for IndentConsistencyCop.vim
utility	IndentConsistencyCop	Is the buffer's indentation consistent and does it conform to tab settings?
utility	mail_indenter	pretty indentation for e-mail replying
utility	MakeInBuilddir	runs :make for projects where build and source directories are separated
utility	jdox	generates javadoc compatibile comments for c++ function definitions
utility	Darcs	basic Darcs support for vim
utility	IndexedSearch	shows 'Nth match out of M' at every search (index of match+total # matches)
utility	tidy-compiler-script	compiler script for tidy
utility	Tab-Name	Set name for your tab-pages.
utility	toggle_words.vim	toggle words like:'true'=>'false', 'True'=>'False' etc
utility	Alternate-workspace	Switch or watch diff between alternate files from child and parent workspaces
utility	buftabs	Minimalistic buffer tabs saving screen space
utility	rubycomplete.vim	ruby omni-completion
utility	redocommand	Execute commands from the command history.
utility	The-NERD-tree	A tree explorer plugin for navigating the filesystem
utility	doxygenerator	Aotomatically generates Doxygen style documentation template for C functions
utility	quilt	Enable quilt usage in vim
utility	highlight_current_line.vim	Highlights CurrentLine
utility	scrollfix	keep cursor at fixed visual line of window
utility	addexecmod.vim	add execute permission automatically at saving file
utility	str2numchar.vim	String convert to Numeric Character Reference
utility	switch_headers.vim	Simple switching between corresponding .h/.hpp and .c/.cpp files
utility	SuperTab-continued.	Do all your insert-mode completion with Tab.
utility	zzsplash	Show Vim splash screen even when started with a filename argument
utility	AfterColors.vim	Provides support for after/colors/ scripts
utility	MultiTabs	Open N files, each one in his own tab, like this: :NTAB file1 file2 ... fileN
utility	myfold.vim	make it easy to open/close fold and foldcolumn
utility	svncommand-tng	Subversion (svn) Integration Plugin, the next generation (tng)
utility	gnuchangelog	Changelog support like Emacs/GNU
utility	findfuncname.vim	Find the name of the function you are editing
utility	pastie.vim	Interface with pastie.org; read and create pastes
utility	phpfolding.vim	Automatic folding of PHP functions, classes,.. (also folds related PhpDoc)
utility	TIMEIT	Time execution of vim command(s) with subsecond resolution
utility	scvim	syntax highlighing, interaction and help/class def lookup for Supercollider
utility	vimtips_with_comments	a package of all tips from vim's homesite with all comments
utility	cshelper	Highlights the highlighting groups of the colorscheme you are editing.
utility	afterimage.vim	Edit PNG and GIF icons by converting them to XPM
utility	IncRoman.vim	Cope with Roman numbers
utility	color_peruse	Peruse, compare, choose color schemes
utility	HelpWords	search vimhelp for paragraphs containing given words(substrings) in any order
utility	colornames	Show named colors / cterm colors with hex code and name colorized in a window
utility	Smooth-Scroll	Smooths scrolls the window for various key mappings
utility	highlight.vim	Highlight lines or patterns of interest in different colors
utility	yanktmp.vim	enables vim to yank and paste through the multi processes
utility	color_toon	Colorscheme utility.
utility	showhide.vim	Show or Hide lines by folding based on pattern
utility	comment.vim	Comment-Uncomment Single/Multiple Files -added Tex file format
utility	crestore.vim	Save (restore afterwards) the current file before using a quickfix command.
utility	unimpaired.vim	Pairs of handy bracket mappings
utility	skk.vim	Japanese SKK
utility	ShowFunc	Show/Jump to Function/Class name
utility	Erlang-plugin-package	A pre-release of a plugin package for Erlang.
utility	tobase	Convert from base(2,8,10,16) to base(2-32). Also character to html entity.
utility	vim-addon-background-cmd	keep on working while compiling your project
utility	lookupfile	Lookup files using Vim7 ins-completion
utility	FlagIt	Add some flags to your code
utility	cr-bs-del-space-tab.vim	Use CR-TAB-DEL-SPACE-TAB in Normal Mode like in Insert Mode
utility	findstr.vim	Using MS-Windows findstr utility to search for text with Vim
utility	SQLComplete.vim	SQLComplete is a SQL code completion system using the omnifunc framework
utility	rails.vim	Ruby on Rails: easy file navigation, enhanced syntax highlighting, and more
utility	patchreview.vim	Plugin for doing single or multipatch code reviews and workspace diff reviews
utility	Rainbow-Parenthsis-Bundle	Colors Parenthsis
utility	KDE-GVIM-vimopen	Opens a file in a currently running GVIM instance
utility	Toggle-Window-Size	Toggle the OS Window size(s) of GVIM
utility	CD_Plus	cd completion accelerator & file browser
utility	autoproto.vim	Auto display function parameter in preview
utility	ScreenShot	ScreenShot.vim enables you make screenshot of your VIM session as HTML code.
utility	jVim	A vim plugin which tries to make vim's keys compatible with other editors.
utility	compilergnat.vim	Compiler setup for GNAT (inactive, replaced by vimscript#1609)
utility	abolish.vim	Work with several variants of a word at once
utility	Tabline-wrapping-patch	Allows tabline strings to wrap onto new lines
utility	GetChar-event-patch	Adds a new event intercepting char reads
utility	mousefunc-option-patch	Patch set to create a mousefunc option
utility	Highlighter.vim	Want to mark up your files with a highlighter?
utility	pluginbackup.vim	Numbered Backups.
utility	TagsParser	Automatic tagfile updating and tag viewer
utility	vimproject	A Python script to create nested menus in gvim to open files in a project
utility	amarok.vim	amaroK integration for vim
utility	backburnerEdit_Visual_Block.vim	Edit text from Visual Block as if a virtual window.
utility	timing.vim	stopwatch timing of execution time of vim commands and command sequences
utility	comments.vim	To Comment/Un-Comment single/multiple lines of code for different source files
utility	javaimports.vim	Inserts all import clauses to your java source file
utility	cmaxx	Expands user defined templates for any filetype.
utility	WinWalker.vim	Vim 7 windows navigator/manager
utility	maven2.vim	Compiler plugin for maven2
utility	ClassTree	Display class/interface hierarchy
utility	changelog	Create ChangeLog entry fast
utility	VhdlNav	Keeps track of your position in a VHDL file
utility	SwitchExt	Switch between source and header files
utility	VimVS6	Compile Visual Studio 6 projects and search in MSDN help files using VIM
utility	screenpaste.vim	pastes current GNU screen buffer in (almost) any mode
utility	autohi	highlights words like eclipse
utility	XHTML-1.0-Strict-vim7-xml-data-file	vim7 xml data file
utility	TabLineSet.vim	A Vim7 tabline customization
utility	LargeFile	Edit large files quickly (keywords: large huge speed)
utility	Search-unFold	Fold everything except search results
utility	Vimball	vim-based archiver: builds, extracts, and previews
utility	slr.vim	Statusline/Ruler rotation
utility	delins.vim	easy marking of corrections in a document
utility	rfc2html	Convert a RFC into HTML easy to browse
utility	Align.vim	Map keys ')' and ']' to perform automatic formatting of parentheses content
utility	PluginKiller	Helps plugin writers find trouble-causing options before their users do
utility	ScrollColors	Colorsheme Scroller, Chooser, and Browser
utility	StickyCursor	remembers the cursor position relative to the window
utility	CmdlineCompl.vim	Word completion on the command line
utility	Modeliner	Generates modeline according to the current settings.
utility	vim7-install.sh	{download + build + install} latest vim7.1 from svn sources in 1 command.
utility	Ant	Ant vim7 xml data file
utility	docbook44	DocBook 4.4 vim7 xml data file
utility	dtd2vim	Script for creation XML data file for Vim7 XML omni-completion from DTDs
utility	glark.vim	a wrapper for the glark command (a grep-like utility)
utility	CycleColor	Cycles through available colorschemes
utility	copypath.vim	Copy current editing file path to clipboard.
utility	cecscope	command and menu driven cscope interface
utility	AllBuffersToOneWindow.vim	Bring all remote Vim window buffers together in one Vim window.
utility	colors	Functions to manipulate color values (vim7).
utility	winmanager	A windows style IDE for Vim
utility	XML-Folding	Folds XML / HTML Tags, CDATA and comments
utility	Compiler-Plugin-for-msbuild-csc	Build your msbuild file and visual studio .net 2005 csharp projects in vim.
utility	HiMtchBrkt	withdrawn
utility	textutil.vim	Vim plugin for editing rtf,rtfd,doc,wordml files.
utility	checksyntax	Check for syntax erros when saving a file (php, ruby, tex ...)
utility	cfname	Shows (or jumps to) the C/C++ prototype of the function the cursor is in
utility	selection_eval.vim	Evaluate the statements which you select with visual mode.
utility	dtdmenu	DTD menu with skeletons
utility	bufmap.vim	automatically maps buffers to function keys
utility	Auto-debug-your-vim	Debug your vim automatically
utility	brsccs.vim	an SCCS browser
utility	bwTemplate	This script is used to load templates to buffers with different filetypes
utility	Workspace-Manager	Plugin for managing groups of files
utility	Local-configuration	Use different settings for different directories.
utility	gnupg-symmetric.vim	Plugin to transparently work with GPG-symmetric-encrypted (using AES) files.
utility	javap.vim	Runs the javap command and displays results in a new buffer
utility	tagSetting.vim	Dynamically set tags option by scanning directory structure
utility	range-search.vim	Allows one to perform a search only inside a range
utility	BuildWin	View the output of a build in progress.
utility	GreedyBackspace.vim	Make backspace eat multiple whitespace characters
utility	build.vim	A compiler plugin for the Windows CE build command.
utility	gdbvim	Watch in gvim what you debug in gdb. And more.
utility	UniCycle	Unicode character cycler
utility	SessionMgr	Simplified session management.
utility	cHeaderFinder	Finds header required by C functions.
utility	Chars2HTML	Converting special characters to HTML
utility	fpc.vim	"Free Pascal Compiler" compiler plugin.
utility	QFixToggle	Toggle the visibility of the quickfix window
utility	TailMinusF	Provides near real-time update of a file in the preview window.
utility	ldap.vim	Active Directory Email Lookup using Python and LDAP
utility	TextMarker	GUI to mark same words in a file using mouse and toolbar buttons, fast and easy
utility	CVSconflict	CVS conflict resolution using vimdiff
utility	bookmarks.vim	Menu driven bookmarks for gvim
utility	Last-Modified	Changes the Last modified date of a file
utility	SmartCase	replacing words while keeping original lower/uppercase style
utility	eraseSubword	Erase one subword from a camel case word or from a _ delimited word
utility	PDV--phpDocumentor-for-Vim	Provides really comfortable generation of phpDocumentor doc blocks for PHP4 & 5.
utility	Modelines-Bundle	Insert Modelines from current settings
utility	Colortest	xterm 256 color test and visual colors list
utility	cxxcomplete	Tries to implement code completion.
utility	VIM-Email-Client	Independent Email Client for Vim
utility	switchtags.vim	Switch tags option automatically between different projects
utility	AutoTag	Updates entries in a tags file automatically when saving
utility	last_change	automatically set time-stamp on modification
utility	last_change	automatically set time-stamp on modification
utility	Autoproject	Use Makefile.am for project management
utility	TabBar	Plugin to add tab bar ( derived from miniBufExplorer).
utility	pluginfonts.vim	Multi OS Font Plugin
utility	VST	Vim reStructured Text
utility	XHTML-1.0-strict-help-file	Help file for XHTML 1.0 Strict
utility	bufferlist.vim	simple, fast, and slick non-disturbing buffer list
utility	CSVTK	Tool kit to work with Comma Separated Values files
utility	Dynamic-Keyword-Highlighting	Color-highlighted multi-search trail
utility	perlprove.vim	Perl unittest compiler. Parses Test::Harness' `prove` output.
utility	snippetsEmu	An attempt to emulate TextMate's snippet expansion
utility	bwUtility.vim	This script provides some trivial functionalities
utility	bwHomeEndAdv.vim	This script enhances the and in both normal mode and insert mode
utility	bwftmenu.vim	help you make a menu only for buffers with a certain filetype
utility	vimplate	Template-Toolkit support for Vim
utility	vimplate	template system for vim (example for C++, Perl, LaTeX and make)
utility	java_fold	Folding expression for Java
utility	cguess	C and C++ identifier completion
utility	T7ko	Plugins set I use in my everyday vimming (especially when programing)
utility	recycle.dll-and-recycle.vim	Backup directly into Recycle Bin on Win32
utility	maximize.dll	Maximizing plugin for Win32 gVim
utility	Shortcut-functions-for-KeepCase-script-	Makes substitutions using Michael Geddes' KeepCase functions easier
utility	Project-Browser-or-File-explorer-for-vim	Easy project navigation by listing the files
utility	Color-Scheme-Explorer	Easy color scheme browsing
utility	Pida	A graphical IDE that uses Vim as its editor over the client-server protocol.
utility	keywords.vim	mappings to move and quote iskeyword text
utility	luarefvim	Lua reference manual
utility	LogiPat	Boolean-Logic Patterns
utility	otherfile.vim	Allows you to quickly switch between .h/.c, .h/.cc, .ads/.adb etc
utility	otherfile.vim	Allows you to quickly switch between .h/.c, .h/.cc, .ads/.adb etc
utility	tabs.vim	Allows to quickly switch between buffers and displays them as tabs.
utility	sadic.tgz	Japanese to English and English to Japanese translator
utility	TortoiseSVN.vim	Support for TortoiseSVN (a subversion client for Windows)
utility	TinyBufferExplorer	A 1-file buffer list plugin with Grouping
utility	tagselect	Provides a better :tselect command.
utility	ToggleOptions.vim	Quick toggling of options
utility	vsearch.vim	Allows text to be searched vertically
utility	autoscroll	autoscroll the screen, see the context of current line clearly
utility	SpotlightOpen	Open files using MacOS Tiger's Spotlight
utility	acsb	CScope frontend (multi queries, multi stacks)
utility	teol.vim	:TEOL and :TSOL ; toggles string at end/start of line(s)
utility	IComplete	IComplete is a C/C++/Java/C# code completion system using the omnifunc framework
utility	Quick-access-file-Menu	Add files in current Directory in Menu for quick access
utility	VIMEN	Vim Is More than Editor Now
utility	timekeeper	keeps a journal of used time
utility	vc_diff	show difference of source code using
utility	Omap.vim	create user-defined operator mappings
utility	cvsmenu.vim-updated	CVS(NT) integration plugin (Script #58 continued since 2005)
utility	Embedded-Vim-Preprocessor	Embedded Vim Preprocessor
utility	Mark	a little script to highlight several words in different colors simultaneously
utility	YankRing.vim	Maintains a history of previous yanks, changes and deletes
utility	gentypes.py	Colorize types you use while editing code (Linux)
